# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
157.539 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.530 0.000 
0.198 0.953 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.821 0.000 
-0.088 -0.708 
-1.133 0.161 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.555 0.000 
-0.050 0.336 
-0.753 -0.129 
0.292 1.090 
0.000 0.000 
0.000 0.000 
-1.560 0.000 
0.152 -0.094 
0.083 0.175 
0.114 0.217 
0.066 -0.234 
0.000 0.000 
0.527 0.000 
0.496 0.308 
0.075 -0.318 
1.088 0.314 
1.667 0.264 
0.278 -1.042 
-0.087 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.152 0.000 
0.067 0.304 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.038 0.000 
-0.036 -0.311 
-0.382 0.059 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.149 0.000 
-0.020 0.131 
-0.336 0.045 
0.101 0.389 
0.000 0.000 
0.000 0.000 
-0.008 0.000 
-0.037 0.330 
0.066 -0.127 
0.104 0.402 
0.347 -0.029 
0.000 0.000 
0.133 0.000 
0.123 0.284 
0.363 0.039 
-0.067 0.150 
0.213 -0.192 
-0.028 -0.384 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.023 0.000 
0.040 0.095 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.068 0.000 
-0.010 -0.112 
-0.135 0.017 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.061 0.000 
-0.007 0.040 
-0.135 0.016 
0.019 0.131 
0.000 0.000 
0.000 0.000 
-0.085 0.000 
0.038 0.135 
-0.008 0.003 
0.035 0.161 
0.157 -0.055 
0.000 0.000 
0.086 0.000 
0.035 0.084 
0.197 -0.007 
0.094 0.021 
0.235 -0.034 
-0.120 -0.167 
0.031 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.004 0.000 
0.016 0.035 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.005 0.000 
-0.002 -0.035 
-0.045 0.005 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.028 0.000 
0.004 0.012 
-0.053 0.005 
0.013 0.055 
0.000 0.000 
0.000 0.000 
-0.034 0.000 
0.008 0.073 
0.006 0.012 
0.011 0.079 
0.073 -0.010 
0.000 0.000 
0.045 0.000 
-0.006 0.047 
0.057 -0.022 
-0.004 0.021 
0.105 -0.012 
-0.018 -0.092 
