# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
157.556 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.460 0.000 
0.253 0.912 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.842 0.000 
-0.033 -0.785 
-1.210 0.213 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.540 0.000 
-0.157 0.319 
-1.005 -0.082 
0.347 1.193 
0.000 0.000 
0.000 0.000 
-1.557 0.000 
0.076 0.362 
0.227 -0.010 
-0.072 0.310 
0.294 -0.386 
0.000 0.000 
-0.432 0.000 
0.870 0.792 
-0.401 -0.516 
0.557 0.820 
1.181 -0.605 
-0.505 -1.137 
-0.094 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.166 0.000 
0.056 0.302 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.060 0.000 
-0.056 -0.319 
-0.429 0.055 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.163 0.000 
-0.016 0.178 
-0.320 0.030 
0.101 0.430 
0.000 0.000 
0.000 0.000 
0.016 0.000 
0.016 0.250 
0.033 -0.125 
0.172 0.372 
0.356 -0.080 
0.000 0.000 
0.253 0.000 
-0.073 0.123 
0.458 0.088 
0.048 -0.162 
0.554 0.032 
-0.171 -0.285 
-0.003 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.024 0.000 
0.042 0.100 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.071 0.000 
-0.005 -0.120 
-0.155 0.022 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.071 0.000 
0.002 0.047 
-0.148 0.024 
0.032 0.152 
0.000 0.000 
0.000 0.000 
-0.084 0.000 
0.031 0.173 
0.020 0.011 
0.031 0.202 
0.182 -0.044 
0.000 0.000 
0.127 0.000 
0.079 0.083 
0.201 -0.049 
0.022 0.043 
0.192 -0.076 
