# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
157.899 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
1.101 0.000 
0.046 0.421 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-1.427 0.000 
0.086 -0.566 
-3.006 0.570 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.627 0.000 
0.163 2.229 
-0.919 0.227 
1.115 3.159 
0.000 0.000 
0.000 0.000 
-0.328 0.000 
-0.050 0.839 
2.060 -0.292 
-0.477 0.447 
2.063 -0.837 
0.000 0.000 
0.148 0.000 
0.785 -2.050 
1.165 -0.755 
-0.616 -2.383 
0.543 -0.476 
-2.223 -3.055 
-0.178 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.209 0.000 
0.056 0.227 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.290 0.000 
-0.036 -0.312 
-1.072 0.198 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.243 0.000 
0.038 0.766 
-0.453 0.065 
0.343 1.142 
0.000 0.000 
0.000 0.000 
0.423 0.000 
0.047 0.408 
0.778 -0.242 
0.008 0.325 
1.232 -0.493 
0.000 0.000 
0.415 0.000 
-0.061 -0.863 
0.636 -0.239 
-0.449 -1.129 
0.461 0.095 
-0.760 -1.578 
-0.058 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.037 0.000 
0.044 0.151 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.156 0.000 
-0.007 -0.150 
-0.345 0.063 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.093 0.000 
0.030 0.271 
-0.174 0.021 
0.120 0.422 
0.000 0.000 
0.000 0.000 
0.085 0.000 
0.009 0.195 
0.312 -0.072 
0.054 0.210 
0.538 -0.193 
0.000 0.000 
0.141 0.000 
-0.052 -0.368 
0.207 -0.086 
-0.077 -0.493 
0.235 -0.089 
-0.406 -0.639 
0.024 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.012 0.074 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.031 0.000 
-0.005 -0.057 
-0.104 0.016 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.038 0.000 
