# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
160.342 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
4.789 0.000 
0.349 0.025 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
4.675 0.000 
3.225 3.514 
-7.171 2.197 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-4.784 0.000 
-5.240 -2.150 
9.061 -3.295 
2.752 2.569 
0.000 0.000 
0.000 0.000 
6.483 0.000 
8.061 -2.290 
-7.654 0.996 
-3.058 0.395 
4.149 -2.153 
0.000 0.000 
-10.298 0.000 
-15.105 9.526 
14.370 -1.013 
8.521 -1.016 
-7.250 3.506 
-1.173 3.734 
-0.928 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
1.424 0.000 
0.315 0.831 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.044 0.000 
0.302 1.353 
-1.537 0.543 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.356 0.000 
-0.106 -0.288 
0.870 -0.545 
0.631 1.303 
0.000 0.000 
0.000 0.000 
0.271 0.000 
0.261 0.573 
-0.350 0.644 
-0.835 -0.979 
0.952 -0.770 
0.000 0.000 
-0.495 0.000 
-0.806 -0.692 
0.280 -0.492 
0.921 0.857 
-0.606 0.665 
-0.630 -0.151 
-0.367 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.292 0.000 
0.127 0.570 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.351 0.000 
-0.056 0.089 
-0.358 0.094 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.227 0.000 
0.130 0.169 
0.035 -0.039 
0.132 0.357 
0.000 0.000 
0.000 0.000 
-0.232 0.000 
-0.170 0.071 
0.066 0.066 
-0.124 -0.254 
0.250 -0.191 
0.000 0.000 
0.219 0.000 
0.261 -0.336 
-0.212 -0.208 
0.109 0.270 
-0.231 0.276 
-0.177 -0.221 
0.074 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.010 0.000 
0.029 0.230 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.042 0.000 
-0.015 -0.087 
-0.080 0.008 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.013 0.000 
0.028 0.116 
-0.036 0.022 
0.029 0.084 
0.000 0.000 
0.000 0.000 
-0.029 0.000 
-0.042 -0.059 
0.066 -0.028 
-0.009 -0.015 
0.093 -0.054 
0.000 0.000 
0.029 0.000 
0.062 0.048 
-0.064 0.040 
-0.003 -0.005 
-0.070 0.034 
-0.077 -0.074 
0.070 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.033 0.000 
0.005 0.073 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.005 0.000 
0.001 -0.028 
-0.011 -0.002 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.024 0.000 
-0.004 0.031 
-0.023 0.010 
-0.001 0.014 
0.000 0.000 
0.000 0.000 
0.015 0.000 
0.006 -0.023 
0.022 -0.016 
0.005 0.015 
0.030 -0.012 
0.000 0.000 
-0.012 0.000 
-0.012 0.026 
0.003 0.020 
-0.020 -0.031 
-0.004 0.000 
-0.019 -0.024 
0.037 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.008 0.000 
0.002 0.013 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.004 0.000 
0.001 0.001 
0.000 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.009 0.000 
-0.002 -0.002 
-0.011 0.001 
-0.001 0.002 
0.000 0.000 
0.000 0.000 
0.006 0.000 
0.004 0.007 
0.008 -0.002 
0.003 0.007 
0.006 -0.003 
0.000 0.000 
-0.011 0.000 
-0.005 -0.006 
-0.003 0.002 
-0.003 -0.008 
0.001 -0.002 
-0.006 -0.009 
0.007 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.000 
0.002 0.002 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.002 0.000 
0.000 0.003 
0.001 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
0.000 -0.005 
-0.002 -0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
0.000 0.007 
0.001 0.001 
0.002 0.002 
0.001 -0.000 
0.000 0.000 
0.001 0.000 
-0.001 -0.007 
0.001 -0.003 
-0.001 -0.001 
0.003 -0.001 
-0.001 -0.002 
0.008 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.000 
0.000 -0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.001 0.000 
0.000 -0.001 
-0.000 -0.000 
-0.000 -0.001 
0.000 0.000 
0.000 0.000 
-0.001 0.000 
-0.000 0.001 
-0.001 0.000 
0.000 0.001 
0.000 -0.000 
0.000 0.000 
0.001 0.000 
0.001 -0.002 
0.001 -0.001 
0.000 -0.000 
0.001 -0.000 
-0.000 -0.001 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 -0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 -0.000 
-0.001 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
-0.000 -0.000 
0.000 -0.000 
0.000 -0.000 
-0.001 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.000 
0.000 0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 -0.000 
-0.000 0.000 
-0.000 -0.000 
-0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 -0.000 
0.000 0.000 
-0.006 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.001 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 -0.000 
0.000 -0.000 
0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.000 
-0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 -0.000 
-0.000 -0.000 
-0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.002 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 -0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.000 
-0.000 0.000 
0.000 -0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 -0.000 
0.000 0.000 
-0.000 0.000 
0.000 -0.000 
-0.003 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 -0.000 
-0.000 -0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 -0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 -0.000 
-0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
-0.000 -0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
