# number of time steps : 1.000 
# nmax = 20, lmax = 05 
# orginal matrix shape [1.0,20, 5, 5 ] 
# Snlm, Tnlm 
# r_s = 40.82 
# ICs from /rsgrps/brant/jngaravitoc/MWLMC_sims/100M/MWLMC6/ 
159.508 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
2.885 0.000 
-0.137 0.066 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
1.243 0.000 
2.609 7.338 
-7.980 2.869 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.374 0.000 
-3.321 -5.747 
10.477 -5.198 
4.262 6.355 
0.000 0.000 
0.000 0.000 
-1.528 0.000 
3.993 7.020 
-11.286 7.580 
-7.750 -7.479 
5.132 -4.627 
0.000 0.000 
1.594 0.000 
-7.349 -6.943 
15.737 -14.848 
17.872 12.862 
-10.703 12.225 
-5.864 -2.180 
-0.594 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.852 0.000 
0.214 0.710 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.336 0.000 
0.240 1.155 
-1.906 0.600 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.568 0.000 
-0.084 0.021 
1.428 -0.665 
0.942 1.743 
0.000 0.000 
0.000 0.000 
-0.486 0.000 
0.139 -0.153 
-1.234 0.945 
-1.666 -2.068 
1.628 -1.360 
0.000 0.000 
0.605 0.000 
-0.157 -0.181 
1.467 -1.627 
2.610 2.665 
-2.185 2.582 
-1.663 -0.805 
-0.283 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.193 0.000 
0.099 0.504 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.271 0.000 
-0.040 -0.074 
-0.388 0.083 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.134 0.000 
0.083 0.378 
0.077 -0.027 
0.166 0.450 
0.000 0.000 
0.000 0.000 
-0.085 0.000 
-0.150 -0.412 
0.131 -0.069 
-0.187 -0.301 
0.451 -0.319 
0.000 0.000 
0.034 0.000 
0.209 0.509 
-0.330 0.257 
0.172 0.190 
-0.529 0.470 
-0.455 -0.416 
0.017 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.012 0.000 
0.030 0.203 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.039 0.000 
-0.018 -0.094 
-0.063 0.002 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.009 0.000 
0.033 0.140 
-0.071 0.038 
0.022 0.085 
0.000 0.000 
0.000 0.000 
0.028 0.000 
-0.040 -0.101 
0.148 -0.069 
0.018 -0.010 
0.126 -0.058 
0.000 0.000 
-0.072 0.000 
0.046 0.092 
-0.203 0.114 
-0.099 -0.088 
-0.083 0.056 
-0.100 -0.146 
0.047 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
0.000 0.000 
-0.019 0.000 
0.008 0.075 
0.000 0.000 
